Site,Date,Month,Species,Functional_Group,sci_name,fish,cots,cots_density_ha,fish_density_ha,Survey_ID
green rock,2024-06-24,2024-06-01,Slingjaw,Invertivore,Epibulus insidiator,1,8,40,5,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,1,8,40,5,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,1,8,40,5,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Thicklip,Invertivore,Hemigymnus melapterus,6,8,40,30,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Trevally,HTLP,Caranx spp.,2,8,40,10,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,Triggerfish,Invertivore,Balistidae spp.,2,8,40,10,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,lrg_Grouper,HTLP,Epinephelus spp.,3,8,40,15,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,lrg_Snapper,HTLP,Lutjanus spp.,1,8,40,5,green rock-24-Jun-24
green rock,2024-06-24,2024-06-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,44,8,40,220,green rock-24-Jun-24
green rock,2024-08-24,2024-08-01,Angelfish,Invertivore,Pomacanthus spp.,0,10,50,0,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Butterflyfish,Herbivore,Chaetodon spp.,37,10,50,185,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,9,10,50,45,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Emperorfish,Mesopredator,Lethrinus spp.,1,10,50,5,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Parrotfish,Herbivore,Scarus spp.,54,10,50,270,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Rabbitfish,Herbivore,Siganus spp.,30,10,50,150,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Red_Breast,Invertivore,Cheilinus fasciatus,9,10,50,45,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Slingjaw,Invertivore,Epibulus insidiator,1,10,50,5,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,1,10,50,5,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,10,50,0,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Thicklip,Invertivore,Hemigymnus melapterus,5,10,50,25,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Trevally,HTLP,Caranx spp.,3,10,50,15,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,Triggerfish,Invertivore,Balistidae spp.,2,10,50,10,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,lrg_Grouper,HTLP,Epinephelus spp.,3,10,50,15,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,lrg_Snapper,HTLP,Lutjanus spp.,0,10,50,0,green rock-24-Aug-24
green rock,2024-08-24,2024-08-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,29,10,50,145,green rock-24-Aug-24
green rock,2024-10-24,2024-10-01,Angelfish,Invertivore,Pomacanthus spp.,2,8,40,10,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Butterflyfish,Herbivore,Chaetodon spp.,53,8,40,265,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,14,8,40,70,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Emperorfish,Mesopredator,Lethrinus spp.,2,8,40,10,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Parrotfish,Herbivore,Scarus spp.,79,8,40,395,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Rabbitfish,Herbivore,Siganus spp.,27,8,40,135,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Red_Breast,Invertivore,Cheilinus fasciatus,11,8,40,55,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Slingjaw,Invertivore,Epibulus insidiator,4,8,40,20,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,2,8,40,10,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,1,8,40,5,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Thicklip,Invertivore,Hemigymnus melapterus,6,8,40,30,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Trevally,HTLP,Caranx spp.,2,8,40,10,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,Triggerfish,Invertivore,Balistidae spp.,2,8,40,10,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,lrg_Grouper,HTLP,Epinephelus spp.,4,8,40,20,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,lrg_Snapper,HTLP,Lutjanus spp.,2,8,40,10,green rock-24-Oct-24
green rock,2024-10-24,2024-10-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,43,8,40,215,green rock-24-Oct-24
green rock,2025-01-29,2025-01-01,Angelfish,Invertivore,Pomacanthus spp.,3,9,45,15,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Butterflyfish,Herbivore,Chaetodon spp.,47,9,45,235,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,15,9,45,75,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Emperorfish,Mesopredator,Lethrinus spp.,3,9,45,15,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Parrotfish,Herbivore,Scarus spp.,78,9,45,390,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Rabbitfish,Herbivore,Siganus spp.,67,9,45,335,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Red_Breast,Invertivore,Cheilinus fasciatus,8,9,45,40,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Slingjaw,Invertivore,Epibulus insidiator,2,9,45,10,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,2,9,45,10,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,9,45,0,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Thicklip,Invertivore,Hemigymnus melapterus,6,9,45,30,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Trevally,HTLP,Caranx spp.,1,9,45,5,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,Triggerfish,Invertivore,Balistidae spp.,1,9,45,5,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,lrg_Grouper,HTLP,Epinephelus spp.,4,9,45,20,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,lrg_Snapper,HTLP,Lutjanus spp.,0,9,45,0,green rock-29-Jan-25
green rock,2025-01-29,2025-01-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,42,9,45,210,green rock-29-Jan-25
green rock,2025-02-19,2025-02-01,Angelfish,Invertivore,Pomacanthus spp.,1,4,20,5,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Butterflyfish,Herbivore,Chaetodon spp.,41,4,20,205,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,15,4,20,75,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Emperorfish,Mesopredator,Lethrinus spp.,4,4,20,20,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Parrotfish,Herbivore,Scarus spp.,136,4,20,680,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Rabbitfish,Herbivore,Siganus spp.,65,4,20,325,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Red_Breast,Invertivore,Cheilinus fasciatus,13,4,20,65,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Slingjaw,Invertivore,Epibulus insidiator,4,4,20,20,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,0,4,20,0,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,4,20,0,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Thicklip,Invertivore,Hemigymnus melapterus,7,4,20,35,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Trevally,HTLP,Caranx spp.,4,4,20,20,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,Triggerfish,Invertivore,Balistidae spp.,4,4,20,20,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,lrg_Grouper,HTLP,Epinephelus spp.,1,4,20,5,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,lrg_Snapper,HTLP,Lutjanus spp.,1,4,20,5,green rock-19-Feb-25
green rock,2025-02-19,2025-02-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,67,4,20,335,green rock-19-Feb-25
green rock,2025-03-24,2025-03-01,Angelfish,Invertivore,Pomacanthus spp.,5,7,35,25,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Butterflyfish,Herbivore,Chaetodon spp.,65,7,35,325,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,15,7,35,75,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Emperorfish,Mesopredator,Lethrinus spp.,2,7,35,10,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Parrotfish,Herbivore,Scarus spp.,125,7,35,625,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Rabbitfish,Herbivore,Siganus spp.,52,7,35,260,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Red_Breast,Invertivore,Cheilinus fasciatus,19,7,35,95,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Slingjaw,Invertivore,Epibulus insidiator,7,7,35,35,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,4,7,35,20,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,7,35,0,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Thicklip,Invertivore,Hemigymnus melapterus,13,7,35,65,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Trevally,HTLP,Caranx spp.,3,7,35,15,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,Triggerfish,Invertivore,Balistidae spp.,16,7,35,80,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,lrg_Grouper,HTLP,Epinephelus spp.,9,7,35,45,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,lrg_Snapper,HTLP,Lutjanus spp.,2,7,35,10,green rock-24-Mar-25
green rock,2025-03-24,2025-03-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,34,7,35,170,green rock-24-Mar-25
green rock,2025-03-26,2025-03-01,Angelfish,Invertivore,Pomacanthus spp.,4,7,35,20,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Butterflyfish,Herbivore,Chaetodon spp.,69,7,35,345,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,4,7,35,20,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Emperorfish,Mesopredator,Lethrinus spp.,3,7,35,15,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Parrotfish,Herbivore,Scarus spp.,71,7,35,355,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Rabbitfish,Herbivore,Siganus spp.,73,7,35,365,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Red_Breast,Invertivore,Cheilinus fasciatus,6,7,35,30,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Slingjaw,Invertivore,Epibulus insidiator,6,7,35,30,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,5,7,35,25,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,7,35,0,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Thicklip,Invertivore,Hemigymnus melapterus,12,7,35,60,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Trevally,HTLP,Caranx spp.,1,7,35,5,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,Triggerfish,Invertivore,Balistidae spp.,6,7,35,30,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,lrg_Grouper,HTLP,Epinephelus spp.,3,7,35,15,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,lrg_Snapper,HTLP,Lutjanus spp.,0,7,35,0,green rock-26-Mar-25
green rock,2025-03-26,2025-03-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,26,7,35,130,green rock-26-Mar-25
green rock,2025-04-08,2025-04-01,Angelfish,Invertivore,Pomacanthus spp.,2,2,10,10,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Butterflyfish,Herbivore,Chaetodon spp.,49,2,10,245,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,12,2,10,60,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Emperorfish,Mesopredator,Lethrinus spp.,1,2,10,5,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Parrotfish,Herbivore,Scarus spp.,47,2,10,235,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Rabbitfish,Herbivore,Siganus spp.,91,2,10,455,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Red_Breast,Invertivore,Cheilinus fasciatus,11,2,10,55,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Slingjaw,Invertivore,Epibulus insidiator,8,2,10,40,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,1,2,10,5,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,2,10,0,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Thicklip,Invertivore,Hemigymnus melapterus,9,2,10,45,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Trevally,HTLP,Caranx spp.,43,2,10,215,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,Triggerfish,Invertivore,Balistidae spp.,2,2,10,10,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,lrg_Grouper,HTLP,Epinephelus spp.,14,2,10,70,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,lrg_Snapper,HTLP,Lutjanus spp.,1,2,10,5,green rock-08-Apr-25
green rock,2025-04-08,2025-04-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,28,2,10,140,green rock-08-Apr-25
green rock,2025-05-21,2025-05-01,Angelfish,Invertivore,Pomacanthus spp.,3,4,20,15,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Butterflyfish,Herbivore,Chaetodon spp.,48,4,20,240,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,14,4,20,70,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Emperorfish,Mesopredator,Lethrinus spp.,5,4,20,25,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Parrotfish,Herbivore,Scarus spp.,57,4,20,285,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Rabbitfish,Herbivore,Siganus spp.,50,4,20,250,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Red_Breast,Invertivore,Cheilinus fasciatus,23,4,20,115,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Slingjaw,Invertivore,Epibulus insidiator,4,4,20,20,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,5,4,20,25,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,4,20,0,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Thicklip,Invertivore,Hemigymnus melapterus,9,4,20,45,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Trevally,HTLP,Caranx spp.,3,4,20,15,green rock-21-May-25
green rock,2025-05-21,2025-05-01,Triggerfish,Invertivore,Balistidae spp.,13,4,20,65,green rock-21-May-25
green rock,2025-05-21,2025-05-01,lrg_Grouper,HTLP,Epinephelus spp.,10,4,20,50,green rock-21-May-25
green rock,2025-05-21,2025-05-01,lrg_Snapper,HTLP,Lutjanus spp.,0,4,20,0,green rock-21-May-25
green rock,2025-05-21,2025-05-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,23,4,20,115,green rock-21-May-25
red rock,2023-05-01,2023-05-01,Angelfish,Invertivore,Pomacanthus spp.,3,10,50,15,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Butterflyfish,Herbivore,Chaetodon spp.,65,10,50,325,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,9,10,50,45,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Emperorfish,Mesopredator,Lethrinus spp.,14,10,50,70,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Parrotfish,Herbivore,Scarus spp.,67,10,50,335,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Rabbitfish,Herbivore,Siganus spp.,30,10,50,150,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Red_Breast,Invertivore,Cheilinus fasciatus,14,10,50,70,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Slingjaw,Invertivore,Epibulus insidiator,10,10,50,50,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,9,10,50,45,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,10,50,0,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Thicklip,Invertivore,Hemigymnus melapterus,16,10,50,80,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Trevally,HTLP,Caranx spp.,0,10,50,0,red rock-01-May-23
red rock,2023-05-01,2023-05-01,Triggerfish,Invertivore,Balistidae spp.,4,10,50,20,red rock-01-May-23
red rock,2023-05-01,2023-05-01,lrg_Grouper,HTLP,Epinephelus spp.,3,10,50,15,red rock-01-May-23
red rock,2023-05-01,2023-05-01,lrg_Snapper,HTLP,Lutjanus spp.,1,10,50,5,red rock-01-May-23
red rock,2023-05-01,2023-05-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,65,10,50,325,red rock-01-May-23
red rock,2023-09-01,2023-09-01,Angelfish,Invertivore,Pomacanthus spp.,3,5,25,15,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Butterflyfish,Herbivore,Chaetodon spp.,53,5,25,265,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,7,5,25,35,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Emperorfish,Mesopredator,Lethrinus spp.,2,5,25,10,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Parrotfish,Herbivore,Scarus spp.,58,5,25,290,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Rabbitfish,Herbivore,Siganus spp.,43,5,25,215,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Red_Breast,Invertivore,Cheilinus fasciatus,11,5,25,55,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Slingjaw,Invertivore,Epibulus insidiator,8,5,25,40,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,5,5,25,25,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,3,5,25,15,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Thicklip,Invertivore,Hemigymnus melapterus,6,5,25,30,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Trevally,HTLP,Caranx spp.,1,5,25,5,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,Triggerfish,Invertivore,Balistidae spp.,2,5,25,10,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,lrg_Grouper,HTLP,Epinephelus spp.,5,5,25,25,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,lrg_Snapper,HTLP,Lutjanus spp.,0,5,25,0,red rock-01-Sep-23
red rock,2023-09-01,2023-09-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,43,5,25,215,red rock-01-Sep-23
red rock,2023-10-01,2023-10-01,Angelfish,Invertivore,Pomacanthus spp.,7,3,15,35,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Butterflyfish,Herbivore,Chaetodon spp.,46,3,15,230,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,18,3,15,90,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Emperorfish,Mesopredator,Lethrinus spp.,4,3,15,20,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Parrotfish,Herbivore,Scarus spp.,135,3,15,675,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Rabbitfish,Herbivore,Siganus spp.,33,3,15,165,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Red_Breast,Invertivore,Cheilinus fasciatus,14,3,15,70,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Slingjaw,Invertivore,Epibulus insidiator,7,3,15,35,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,1,3,15,5,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,3,15,0,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Thicklip,Invertivore,Hemigymnus melapterus,8,3,15,40,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Trevally,HTLP,Caranx spp.,2,3,15,10,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,Triggerfish,Invertivore,Balistidae spp.,2,3,15,10,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,lrg_Grouper,HTLP,Epinephelus spp.,18,3,15,90,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,lrg_Snapper,HTLP,Lutjanus spp.,3,3,15,15,red rock-01-Oct-23
red rock,2023-10-01,2023-10-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,40,3,15,200,red rock-01-Oct-23
red rock,2024-01-24,2024-01-01,Angelfish,Invertivore,Pomacanthus spp.,4,6,30,20,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Butterflyfish,Herbivore,Chaetodon spp.,61,6,30,305,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,12,6,30,60,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Emperorfish,Mesopredator,Lethrinus spp.,3,6,30,15,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Parrotfish,Herbivore,Scarus spp.,61,6,30,305,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Rabbitfish,Herbivore,Siganus spp.,60,6,30,300,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Red_Breast,Invertivore,Cheilinus fasciatus,10,6,30,50,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Slingjaw,Invertivore,Epibulus insidiator,10,6,30,50,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,13,6,30,65,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,6,30,0,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Thicklip,Invertivore,Hemigymnus melapterus,14,6,30,70,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Trevally,HTLP,Caranx spp.,3,6,30,15,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,Triggerfish,Invertivore,Balistidae spp.,1,6,30,5,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,lrg_Grouper,HTLP,Epinephelus spp.,7,6,30,35,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,lrg_Snapper,HTLP,Lutjanus spp.,4,6,30,20,red rock-24-Jan-24
red rock,2024-01-24,2024-01-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,76,6,30,380,red rock-24-Jan-24
red rock,2024-03-19,2024-03-01,Angelfish,Invertivore,Pomacanthus spp.,1,3,15,5,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Butterflyfish,Herbivore,Chaetodon spp.,58,3,15,290,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,11,3,15,55,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Emperorfish,Mesopredator,Lethrinus spp.,4,3,15,20,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Parrotfish,Herbivore,Scarus spp.,45,3,15,225,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Rabbitfish,Herbivore,Siganus spp.,40,3,15,200,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Red_Breast,Invertivore,Cheilinus fasciatus,10,3,15,50,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Slingjaw,Invertivore,Epibulus insidiator,5,3,15,25,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,10,3,15,50,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,3,15,0,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Thicklip,Invertivore,Hemigymnus melapterus,8,3,15,40,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Trevally,HTLP,Caranx spp.,8,3,15,40,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,Triggerfish,Invertivore,Balistidae spp.,1,3,15,5,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,lrg_Grouper,HTLP,Epinephelus spp.,6,3,15,30,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,lrg_Snapper,HTLP,Lutjanus spp.,0,3,15,0,red rock-19-Mar-24
red rock,2024-03-19,2024-03-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,57,3,15,285,red rock-19-Mar-24
red rock,2024-04-24,2024-04-01,Angelfish,Invertivore,Pomacanthus spp.,2,2,10,10,red rock-24-Apr-24
red rock,2024-04-24,2024-04-01,Butterflyfish,Herbivore,Chaetodon spp.,62,2,10,310,red rock-24-Apr-24
red rock,2024-04-24,2024-04-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,8,2,10,40,red rock-24-Apr-24
red rock,2024-04-24,2024-04-01,Emperorfish,Mesopredator,Lethrinus spp.,1,2,10,5,red rock-24-Apr-24
red rock,2024-04-24,2024-04-01,Parrotfish,Herbivore,Scarus spp.,54,2,10,270,red rock-24-Apr-24
red rock,2024-04-24,2024-04-01,Rabbitfish,Herbivore,Siganus spp.,26,2,10,130,red rock-24-Apr-24
