Site,Date,Month,Species,Functional_Group,sci_name,fish,cots,cots_density_ha,fish_density_ha,Survey_ID
aow leuk,2025-03-13,2025-03-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,50,3,15,250,aow leuk-13-Mar-25
aow leuk,2025-04-16,2025-04-01,Angelfish,Invertivore,Pomacanthus spp.,2,4,20,10,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Butterflyfish,Herbivore,Chaetodon spp.,54,4,20,270,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,10,4,20,50,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Emperorfish,Mesopredator,Lethrinus spp.,13,4,20,65,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Parrotfish,Herbivore,Scarus spp.,42,4,20,210,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Rabbitfish,Herbivore,Siganus spp.,88,4,20,440,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Red_Breast,Invertivore,Cheilinus fasciatus,20,4,20,100,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Slingjaw,Invertivore,Epibulus insidiator,3,4,20,15,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,3,4,20,15,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,1,4,20,5,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Thicklip,Invertivore,Hemigymnus melapterus,6,4,20,30,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Trevally,HTLP,Caranx spp.,0,4,20,0,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,Triggerfish,Invertivore,Balistidae spp.,1,4,20,5,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,lrg_Grouper,HTLP,Epinephelus spp.,10,4,20,50,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,lrg_Snapper,HTLP,Lutjanus spp.,0,4,20,0,aow leuk-16-Apr-25
aow leuk,2025-04-16,2025-04-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,30,4,20,150,aow leuk-16-Apr-25
aow leuk,2025-04-21,2025-04-01,Angelfish,Invertivore,Pomacanthus spp.,1,4,20,5,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Butterflyfish,Herbivore,Chaetodon spp.,44,4,20,220,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,8,4,20,40,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Emperorfish,Mesopredator,Lethrinus spp.,10,4,20,50,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Parrotfish,Herbivore,Scarus spp.,84,4,20,420,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Rabbitfish,Herbivore,Siganus spp.,77,4,20,385,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Red_Breast,Invertivore,Cheilinus fasciatus,12,4,20,60,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Slingjaw,Invertivore,Epibulus insidiator,7,4,20,35,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,5,4,20,25,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,2,4,20,10,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Thicklip,Invertivore,Hemigymnus melapterus,14,4,20,70,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Trevally,HTLP,Caranx spp.,1,4,20,5,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,Triggerfish,Invertivore,Balistidae spp.,2,4,20,10,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,lrg_Grouper,HTLP,Epinephelus spp.,12,4,20,60,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,lrg_Snapper,HTLP,Lutjanus spp.,1,4,20,5,aow leuk-21-Apr-25
aow leuk,2025-04-21,2025-04-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,42,4,20,210,aow leuk-21-Apr-25
green rock,2020-07-01,2020-07-01,Angelfish,Invertivore,Pomacanthus spp.,6,12,60,30,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Butterflyfish,Herbivore,Chaetodon spp.,78,12,60,390,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,14,12,60,70,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Emperorfish,Mesopredator,Lethrinus spp.,7,12,60,35,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Parrotfish,Herbivore,Scarus spp.,92,12,60,460,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Rabbitfish,Herbivore,Siganus spp.,39,12,60,195,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Red_Breast,Invertivore,Cheilinus fasciatus,15,12,60,75,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Slingjaw,Invertivore,Epibulus insidiator,6,12,60,30,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,16,12,60,80,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,2,12,60,10,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Thicklip,Invertivore,Hemigymnus melapterus,11,12,60,55,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Trevally,HTLP,Caranx spp.,3,12,60,15,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,Triggerfish,Invertivore,Balistidae spp.,3,12,60,15,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,lrg_Grouper,HTLP,Epinephelus spp.,5,12,60,25,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,lrg_Snapper,HTLP,Lutjanus spp.,1,12,60,5,green rock-01-Jul-20
green rock,2020-07-01,2020-07-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,38,12,60,190,green rock-01-Jul-20
green rock,2020-08-01,2020-08-01,Angelfish,Invertivore,Pomacanthus spp.,7,9,45,35,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Butterflyfish,Herbivore,Chaetodon spp.,107,9,45,535,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,15,9,45,75,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Emperorfish,Mesopredator,Lethrinus spp.,8,9,45,40,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Parrotfish,Herbivore,Scarus spp.,107,9,45,535,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Rabbitfish,Herbivore,Siganus spp.,34,9,45,170,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Red_Breast,Invertivore,Cheilinus fasciatus,30,9,45,150,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Slingjaw,Invertivore,Epibulus insidiator,11,9,45,55,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,12,9,45,60,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,2,9,45,10,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Thicklip,Invertivore,Hemigymnus melapterus,20,9,45,100,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Trevally,HTLP,Caranx spp.,2,9,45,10,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,Triggerfish,Invertivore,Balistidae spp.,2,9,45,10,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,lrg_Grouper,HTLP,Epinephelus spp.,4,9,45,20,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,lrg_Snapper,HTLP,Lutjanus spp.,2,9,45,10,green rock-01-Aug-20
green rock,2020-08-01,2020-08-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,64,9,45,320,green rock-01-Aug-20
green rock,2020-09-01,2020-09-01,Angelfish,Invertivore,Pomacanthus spp.,2,9,45,10,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Butterflyfish,Herbivore,Chaetodon spp.,86,9,45,430,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,12,9,45,60,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Emperorfish,Mesopredator,Lethrinus spp.,5,9,45,25,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Parrotfish,Herbivore,Scarus spp.,84,9,45,420,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Rabbitfish,Herbivore,Siganus spp.,21,9,45,105,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Red_Breast,Invertivore,Cheilinus fasciatus,19,9,45,95,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Slingjaw,Invertivore,Epibulus insidiator,5,9,45,25,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,26,9,45,130,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,1,9,45,5,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Thicklip,Invertivore,Hemigymnus melapterus,12,9,45,60,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Trevally,HTLP,Caranx spp.,5,9,45,25,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,Triggerfish,Invertivore,Balistidae spp.,1,9,45,5,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,lrg_Grouper,HTLP,Epinephelus spp.,4,9,45,20,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,lrg_Snapper,HTLP,Lutjanus spp.,0,9,45,0,green rock-01-Sep-20
green rock,2020-09-01,2020-09-01,sml_Grouper,Mesopredator,Cephalopholis/Epinephelus spp.,47,9,45,235,green rock-01-Sep-20
green rock,2022-10-01,2022-10-01,Angelfish,Invertivore,Pomacanthus spp.,2,10,50,10,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Butterflyfish,Herbivore,Chaetodon spp.,69,10,50,345,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Cleaner_Wrasse,Invertivore,Labroides dimidiatus,13,10,50,65,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Emperorfish,Mesopredator,Lethrinus spp.,3,10,50,15,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Parrotfish,Herbivore,Scarus spp.,75,10,50,375,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Rabbitfish,Herbivore,Siganus spp.,67,10,50,335,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Red_Breast,Invertivore,Cheilinus fasciatus,7,10,50,35,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Slingjaw,Invertivore,Epibulus insidiator,3,10,50,15,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Squirrel.Soldier,Invertivore,Holocentridae spp.,13,10,50,65,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Sweetlips,Invertivore,Diagramma/Plectorhinchus spp.,0,10,50,0,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Thicklip,Invertivore,Hemigymnus melapterus,6,10,50,30,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Trevally,HTLP,Caranx spp.,2,10,50,10,green rock-01-Oct-22
green rock,2022-10-01,2022-10-01,Triggerfish,Invertivore,Balistidae spp.,1,10,50,5,green rock-01-Oct-22
